collection_id,title_en,title_es,title_pt,indigenous_title,languages_documented,language_codes,countries,collectors,collection_url,islandora_pid
504,Emberá Collection of Stephanie Kane,Colección de Emberá de Stephanie Kane,Coleção Emberá de Stephanie Kane,,"Emberá, Northern",emp,Panama,Stephanie Kane,https://ailla.utexas.org/collections/504,ailla:124412
844,Enenlhet Documentation,Documentación de Enenlhet,Documentação da Enenlhet,Enenlhet Nempaivoma,Enenlhet; Enlhet,tmf; enl,Paraguay,Raina Heaton,https://ailla.utexas.org/collections/844,ailla:266557
1003,Epigraphy Collection of Terrence Kaufman and John Justeson,Colección de Epigrafía de Terrence Kaufman y John Justeson,Coleção de epigrafia de Terrence Kaufman e John Justeson,,Mixe-Zoque; Mayan; Zapotec; Multiple; Epi-Olmec,cai; myn; zap; mul; xep,United States of America,John Justeson; Terrence Kaufman,https://ailla.utexas.org/collections/1003,ailla:248167
570,"Field Materials de Ayapa, Jalapa de Méndez, Tabasco, Mexico (2004-2014)","Materiales de Investigación de Campo en Ayapa, Jalapa de Méndez, Tabasco, Mexico (2004-2014)","Materiais de campo de Ayapa, Jalapa de Méndez, Tabasco, México (2004-2014)",,"Zoque, Ayapaneco",zoq,Mexico,Daniel F. Suslak,https://ailla.utexas.org/collections/570,ailla:285213
1621,Francisco Marroquín Linguistic Project (PLFM),Proyecto Lingüístico Francisco Marroquín (PLFM),Projeto Linguístico Francisco Marroquín (PLFM),,K'ichee'; Chuj; Awakateko; Poqomam; Sakapulteko; Sipakapense; Mayan; Q'eqchi'; Tz'utujil; Q'anjob'al; Kaqchikel; Mam; Poqomchi',quc; cac; agu; poc; quv; qum; myn; kek; tzj; kjb; cak; mam; poh,Guatemala,Terrence Kaufman,https://ailla.utexas.org/collections/1621,ailla:124507
548,Gammibe Gun Galu,Gammibe Gun Galu,Gammibe Gun Galu,Gammibe Gun Galu,"Kuna, Border",kvn,Panama,Amanda C. Gibson; Morrison B. Mast,https://ailla.utexas.org/collections/548,ailla:124502
802,Gulf Nahuat Dialect Survey,Encuesta Lingüística del Náhuat del Golfo,Pesquisa Linguística do Nahuat do Golfo,,"Nahuatl, Tabasco; Nahuatl; Nahuatl, Istmo-Mecayapan; Nahuatl, Istmo-Pajapan",nhc; nah; nhx; nhp,Mexico,Terrence Kaufman,https://ailla.utexas.org/collections/802,ailla:124449
466,Guna Collection of Wikaliler Daniel Smith,Colección Guna de Wikaliler Daniel Smith,Coleção Guna de Wikaliler Daniel Smith,,"Kuna, San Blas",cuk,Panama,Wikaliler Daniel Smith,https://ailla.utexas.org/collections/466,ailla:124509
1350,Huancavelica Quechua Fieldnotes of Willem de Ruese,Las Notas del Campo de Quechua de Huancavelica de Willem de Ruese,As Notas de Campo de Quíchua de Huancavelica de Willem de Ruese,,"Quechua, Ayacucho",quy,Peru,Willem J. de Reuse,https://ailla.utexas.org/collections/1350,ailla:124435
1662,Huasteca Nahuatl Collection of Terrence Kaufman,Colección del Náhuatl de la Huasteca de Terrence Kaufman,Coleção de Nahuatl da Huasteca de Terrence Kaufman,,"Nahuatl, Eastern Huasteca; Nahuatl, Central Huasteca; Nahuatl, Western Huasteca",nhe; nch; nhw,Mexico,Terrence Kaufman,https://ailla.utexas.org/collections/1662,ailla:247464
602,Huasteco Collection of Barbara Edmonson,Colección Huasteco de Barbara Edmonson,Coleção Huasteco de Barbara Edmonson,,Huasteco,hus,Mexico,Barbara Edmonson,https://ailla.utexas.org/collections/602,ailla:124475
881,Huave Collection of Yuni Kim,La Colección del Huave por Yuni Kim,Coleção Huave de Yuni Kim,"Kanchion mipochiujts, umbeyajts konajts","Huave, San Francisco del Mar",hue,Mexico; United Kingdom,Yuni Kim,https://ailla.utexas.org/collections/881,ailla:274696
501,Huehuetla Tepehua Language Documentation Collection,Colección de Documentación Lingüística del Tepehua de Huehuetla,Coleção de documentação da linguagem tepehua de Huehuetla,Lakilaqachaqan,"Tepehua, Huehuetla",tee,Mexico,Susan Smythe Kung,https://ailla.utexas.org/collections/501,ailla:124437
1004,Hup Collection of Howard Reid,Colección Hup de Howard Reid,Coleção Hup de Howard Reid,,Desano; Hup; Choco; Yuwana,des; jup; sai; yau,Venezuela; Brazil; Colombia; United Kingdom,Howard Reid,https://ailla.utexas.org/collections/1004,ailla:273722
1461,Hup Collection of Patience Epps,Colección Hup de Patience Epps,Coleção Hup de Patience Epps,,Hup,jup,Brazil,Patience Epps,https://ailla.utexas.org/collections/1461,ailla:124481
